filename,name,email,skills,experience,education,ata_score,ml_score,matched_count,total_keywords,matched_keywords
75_CV_482.docx,Kathy Williams,obrown@example.net,,6.0,MSc in Software Engineering from Solis-House University,0.0%,17.5,0,19,
75_CV_528.docx,Debra Franklin,kimberly06@example.org,,10.0,MSc in Information Technology from Owens-Burgess University,0.0%,12.5,0,19,
75_CV_494.docx,Mary Smith,cerickson@example.org,"Leadership, Communication",4.0,MSc in Computer Science from Green-Rice University,0.0%,5.6,0,19,
75_CV_531.docx,Christopher Holmes,nicoleweber@example.net,Teamwork,6.0,"BSc in Computer Science from Chapman, Davidson and Jones University",0.0%,12.6,0,19,
75_CV_527.docx,Jose Cannon,kaylasims@example.com,,1.0,BSc in Software Engineering from York-Williams University,0.0%,18.2,0,19,
75_CV_551.docx,Sandra Reid,huntlinda@example.org,Communication,2.0,BSc in Computer Science from Allen LLC University,0.0%,13.1,0,19,
75_CV_418.docx,Nancy Mclaughlin,robert63@example.com,"Leadership, Teamwork",7.0,"BSc in Computer Science from Thomas, Glenn and Herrera University",0.0%,10.6,0,19,
75_CV_414.docx,Michael Zavala,jerry68@example.net,"Leadership, Communication",6.0,MSc in Computer Science from Griffith Inc University,0.0%,9.8,0,19,
75_CV_547.docx,Carl Powers,danielbates@example.net,,9.0,BS in Information Technology from Miller-Turner University,0.0%,14.7,0,19,
75_CV_402.docx,Caitlin Smith,smithdaniel@example.org,Teamwork,9.0,BSc in Information Technology from Collier LLC University,0.0%,11.3,0,19,
75_CV_510.docx,Holly Taylor,dgarcia@example.com,Teamwork,3.0,"BS in Software Engineering from Boyd, Miller and Watkins University",0.0%,14.3,0,19,
75_CV_455.docx,Ryan Carter,rodriguezdylan@example.net,Communication,2.0,BS in Software Engineering from Garrett Ltd University,0.0%,14.7,0,19,
75_CV_584.docx,Brittany Murray,nicole48@example.com,"Leadership, Communication",7.0,"MSc in Software Engineering from Patel, Turner and Horton University",0.0%,14.0,0,19,
75_CV_479.docx,Karen Gill,ejohnson@example.com,,5.0,BSc in Computer Science from Hunt-Long University,0.0%,14.7,0,19,
75_CV_496.docx,Unknown,hernandezjames@example.com,Teamwork,2.0,BSc in Software Engineering from Brown-Gonzalez University,0.0%,12.1,0,19,
75_CV_480.docx,Lindsay Nash,carolwalker@example.org,Teamwork,3.0,MSc in Computer Science from Green-Parker University,0.0%,8.0,0,19,
75_CV_438.docx,Thomas Clark,patrickbird@example.org,"Leadership, Teamwork",4.0,BS in Computer Science from Hodge Group University,0.0%,9.9,0,19,
75_CV_592.docx,Patrick Butler,vanessasmith@example.com,,6.0,BS in Computer Science from Kelly Group University,0.0%,13.9,0,19,
75_CV_459.docx,Christian Wright,petersoncassandra@example.net,,9.0,BSc in Computer Science from Berry-Phillips University,0.0%,18.7,0,19,
75_CV_462.docx,Joe Buck,erinlewis@example.com,"Leadership, Communication",4.0,BS in Information Technology from Vazquez Inc University,0.0%,6.3,0,19,
75_CV_422.docx,Pamela Carrillo,bjackson@example.org,Leadership,9.0,BS in Computer Science from Nelson Ltd University,0.0%,13.3,0,19,
75_CV_588.docx,Kayla Campos,margaretblair@example.net,,7.0,BSc in Computer Science from Lawrence-Tucker University,0.0%,20.1,0,19,
75_CV_567.docx,Heather Torres,reyeschristopher@example.net,"Leadership, Communication",6.0,MSc in Software Engineering from James-Gaines University,0.0%,11.3,0,19,
75_CV_475.docx,Unknown,johnsontammy@example.com,Leadership,2.0,"MSc in Computer Science from Martin, Jones and Lewis University",0.0%,14.4,0,19,
75_CV_530.docx,Lorraine Blanchard,ngrimes@example.net,Teamwork,10.0,BSc in Computer Science from Benitez-Harper University,0.0%,11.2,0,19,
75_CV_463.docx,Donald Koch,amanda74@example.org,Teamwork,6.0,"BS in Information Technology from Parks, Lee and Pham University",0.0%,9.4,0,19,
75_CV_526.docx,Kirsten Mcgrath,michelle34@example.org,,1.0,BSc in Information Technology from Potter Inc University,0.0%,12.8,0,19,
75_CV_434.docx,Daniel Wiggins,michaelascott@example.org,"Leadership, Communication",5.0,MSc in Software Engineering from Hurst LLC University,0.0%,10.7,0,19,
75_CV_571.docx,Kathleen Smith,karenhartman@example.org,Leadership,4.0,BSc in Software Engineering from Davidson-Stuart University,0.0%,14.9,0,19,
75_CV_435.docx,Dawn Bass,virginia41@example.net,Communication,5.0,BSc in Computer Science from Morgan PLC University,0.0%,12.6,0,19,
75_CV_570.docx,Randy Williams,dfoster@example.net,"Leadership, Teamwork",8.0,"BS in Computer Science from Adams, Elliott and Morton University",0.0%,9.8,0,19,
75_CV_431.docx,Rodney Page,catherine21@example.com,,6.0,"MSc in Information Technology from Wright, Martinez and Bruce University",0.0%,17.6,0,19,
